flow_id,path_latency(ms),bandwidth(Gbps),flow_size(MB),standard_time(ms)
DATA_B4b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F7a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B1a_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F8a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B2a_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F5b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B3a_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F6b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B4a_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F7b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B5b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F8b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B6b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
